CIK,FILINGMANAGER_NAME,PERIODOFREPORT,FILING_DATE,SUBMISSIONTYPE,ISAMENDMENT,TABLEVALUETOTAL,TABLEENTRYTOTAL,ISCONFIDENTIALOMITTED,NAMEOFISSUER,CUSIP,TITLEOFCLASS,VALUE,SSHPRNAMT,SSHPRNAMTTYPE,INVESTMENTDISCRETION,weight
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",30/6/2010,27/6/2013,13F-HR,,201298000,79,N,BOEING,97023105,COM,1500000,23905,SH,SOLE,0.007451639
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",30/6/2010,27/6/2013,13F-HR,,201298000,79,N,BRISTOL MYERS SQUIBB CO,110122108,COM,560000,22437,SH,SOLE,0.002781945
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",30/6/2010,27/6/2013,13F-HR,,201298000,79,N,CATERPILLAR INC,149123101,COM,5355000,89144,SH,SOLE,0.026602351
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",30/6/2010,27/6/2013,13F-HR,,201298000,79,N,CHEVRON CORP,166764100,COM,1847000,27214,SH,SOLE,0.009175451
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",30/6/2010,27/6/2013,13F-HR,,201298000,79,N,CHUBB CORP,171232101,COM,6428000,128527,SH,SOLE,0.031932756
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",30/6/2010,27/6/2013,13F-HR,,201298000,79,N,CINCINNATI FINANCIAL CORP,172062101,COM,3924000,151696,SH,SOLE,0.019493487
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",30/6/2010,27/6/2013,13F-HR,,201298000,79,N,CISCO SYSTEMS INC,17275R102,COM,384000,18010,SH,SOLE,0.00190762
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",30/6/2010,27/6/2013,13F-HR,,201298000,79,N,COCA COLA CO,191216100,COM,505000,10082,SH,SOLE,0.002508718
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",30/6/2010,27/6/2013,13F-HR,,201298000,79,N,COLGATE PALMOLIVE,194162103,COM,4997000,63440,SH,SOLE,0.024823893
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",30/6/2010,27/6/2013,13F-HR,,201298000,79,N,CONSUMER STAPLES S&P SECTOR,81369Y308,COM,242000,9483,SH,SOLE,0.001202198
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",30/6/2010,27/6/2013,13F-HR,,201298000,79,N,CVS CORP,126650100,COM,866000,29547,SH,SOLE,0.00430208
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",30/6/2010,27/6/2013,13F-HR,,201298000,79,N,DEERE & COMPANY,244199105,COM,4547000,81655,SH,SOLE,0.022588401
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",30/6/2010,27/6/2013,13F-HR,,201298000,79,N,DOMINION RES INC VA NEW,25746U109,COM,4173000,107720,SH,SOLE,0.020730459
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",30/6/2010,27/6/2013,13F-HR,,201298000,79,N,DUKE ENERGY CORP (HOLDING COMP,26441C204,COM,192000,12019,SH,SOLE,0.00095381
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",30/6/2010,27/6/2013,13F-HR,,201298000,79,N,EATON CORP,278058102,COM,1191000,18200,SH,SOLE,0.005916601
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",30/6/2010,27/6/2013,13F-HR,,201298000,79,N,ECOLAB INC,278865100,COM,1200000,26714,SH,SOLE,0.005961311
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",30/6/2010,27/6/2013,13F-HR,,201298000,79,N,ELI LILLY & CO,532457108,COM,426000,12712,SH,SOLE,0.002116265
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",30/6/2010,27/6/2013,13F-HR,,201298000,79,N,EMERSON ELEC,291011104,COM,5632000,128915,SH,SOLE,0.02797842
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",30/6/2010,27/6/2013,13F-HR,,201298000,79,N,ENERGY S&P SECTOR,81369Y506,COM,797000,16046,SH,SOLE,0.003959304
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",30/6/2010,27/6/2013,13F-HR,,201298000,79,N,EXXON MOBIL CORP,30231G102,COM,5909000,103535,SH,SOLE,0.029354489
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",30/6/2010,27/6/2013,13F-HR,,201298000,79,N,FIRST FINANCIAL CORP-IND,320218100,COM,1258000,48753,SH,SOLE,0.006249441
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",30/6/2010,27/6/2013,13F-HR,,201298000,79,N,GENERAL ELECTRIC CO,369604103,COM,4509000,312677,SH,SOLE,0.022399626
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",30/6/2010,27/6/2013,13F-HR,,201298000,79,N,HEALTH CARE REIT INC,42217K106,COM,206000,4900,SH,SOLE,0.001023358
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",30/6/2010,27/6/2013,13F-HR,,201298000,79,N,HONDA MOTOR ADR,438128308,COM,228000,7925,SH,SOLE,0.001132649
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",30/6/2010,27/6/2013,13F-HR,,201298000,79,N,HUMANA INC,444859102,COM,219000,4794,SH,SOLE,0.001087939
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",30/6/2010,27/6/2013,13F-HR,,201298000,79,N,ILLINOIS TOOL WORKS INC,452308109,COM,4873000,118049,SH,SOLE,0.024207891
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",30/6/2010,27/6/2013,13F-HR,,201298000,79,N,INDUSTRIAL S&P SECTOR,81369Y704,COM,259000,9437,SH,SOLE,0.00128665
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",30/6/2010,27/6/2013,13F-HR,,201298000,79,N,INTEGRA BANK CORPORATION,45814P105,COM,9000,11275,SH,SOLE,4.47E-05
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",30/6/2010,27/6/2013,13F-HR,,201298000,79,N,INTEL CORP,458140100,COM,198000,10170,SH,SOLE,0.000983616
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",30/6/2010,27/6/2013,13F-HR,,201298000,79,N,INTERNATIONAL BUSINESS MACHINE,459200101,COM,6617000,53592,SH,SOLE,0.032871663
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",30/6/2010,27/6/2013,13F-HR,,201298000,79,N,ISHARES S&P GLOBAL HLTHCARE,464287325,COM,240000,5242,SH,SOLE,0.001192262
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",30/6/2010,27/6/2013,13F-HR,,201298000,79,N,ISHARES TR S&P SMALLCAP 600 GT,464287887,COM,1518000,26666,SH,SOLE,0.007541059
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",30/6/2010,27/6/2013,13F-HR,,201298000,79,N,ISHARES TRUST MSCI EAFE INDEX,464287465,COM,646000,13882,SH,SOLE,0.003209172
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",30/6/2010,27/6/2013,13F-HR,,201298000,79,N,JOHNSON & JOHNSON,478160104,COM,10153000,171911,SH,SOLE,0.05043766
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",30/6/2010,27/6/2013,13F-HR,,201298000,79,N,JPMORGAN CHASE & CO,46625H100,COM,398000,10884,SH,SOLE,0.001977168
